BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460366.686660,0.99908,0.00153,1.4340,0.64,-0.13,12.25,158513
2460366.686962,0.99730,0.00152,1.4333,0.59,0.01,12.29,153373
2460366.687251,0.99718,0.00152,1.4326,0.36,0.07,12.22,159798
2460366.687541,1.00147,0.00152,1.4319,0.57,-0.08,12.36,162727
2460366.687843,0.99990,0.00152,1.4312,0.31,-0.07,12.25,158882
2460366.688144,0.99963,0.00152,1.4305,0.47,0.01,11.80,159396
2460366.688434,0.99875,0.00152,1.4298,0.46,-0.12,12.52,154016
2460366.688734,0.99885,0.00153,1.4291,0.41,-0.01,12.07,144427
2460366.689024,0.99858,0.00152,1.4284,0.43,-0.12,12.00,157926
2460366.689314,0.99977,0.00152,1.4277,0.34,0.09,12.24,157104
2460366.689615,1.00197,0.00152,1.4270,0.54,0.14,12.11,151193
2460366.689905,1.00244,0.00151,1.4264,0.46,0.09,12.02,162412
2460366.690195,0.99924,0.00151,1.4257,0.52,-0.11,12.41,154998
2460366.690496,1.00027,0.00151,1.4251,0.47,-0.22,12.28,165840
2460366.690786,0.99776,0.00150,1.4244,0.55,0.08,12.14,168645
2460366.691087,1.00114,0.00151,1.4238,0.64,-0.18,12.39,163091
2460366.691388,1.00040,0.00151,1.4232,0.35,-0.09,12.46,162436
2460366.691678,0.99549,0.00151,1.4225,0.49,-0.07,12.13,151378
2460366.691968,1.00205,0.00151,1.4219,0.57,0.07,12.50,159334
2460366.692269,0.99988,0.00150,1.4213,0.28,0.03,12.12,171462
2460366.692559,0.99919,0.00150,1.4207,0.24,-0.03,12.21,163153
2460366.692849,1.00048,0.00150,1.4201,0.32,0.12,12.07,164722
2460366.693150,0.99845,0.00150,1.4195,0.64,-0.08,12.46,163845
2460366.693440,0.99905,0.00150,1.4189,0.31,-0.14,12.39,162400
2460366.693742,0.99902,0.00151,1.4183,0.51,0.06,12.33,147553
2460366.694031,1.00194,0.00151,1.4178,0.60,0.15,12.46,150977
2460366.694333,1.00011,0.00150,1.4172,0.68,-0.03,12.18,164401
2460366.694623,0.99889,0.00150,1.4166,0.35,-0.02,12.58,150743
2460366.694924,1.00181,0.00150,1.4161,0.56,0.07,12.56,158446
2460366.695225,0.99871,0.00149,1.4155,0.39,-0.06,12.39,161225
2460366.695515,0.99990,0.00149,1.4150,0.77,-0.12,12.51,166507
2460366.695805,0.99648,0.00149,1.4144,0.48,-0.12,12.35,162307
2460366.696106,0.99908,0.00149,1.4139,0.54,-0.03,12.05,164926
2460366.696408,1.00158,0.00149,1.4134,0.18,0.10,12.30,159186
2460366.696698,0.99915,0.00149,1.4128,0.74,-0.18,12.46,161584
2460366.696999,0.99901,0.00149,1.4123,0.54,0.08,12.48,167335
2460366.697300,1.00022,0.00149,1.4118,0.60,0.07,12.42,158316
2460366.697590,0.99354,0.00150,1.4113,-0.23,-0.59,12.19,141098
2460366.697891,1.00253,0.00156,1.4108,0.69,-0.04,12.62,106136
2460366.698181,1.00469,0.00152,1.4103,0.49,-0.20,12.23,135129
2460366.698483,0.99844,0.00149,1.4098,0.33,-0.02,12.36,168274
2460366.698773,1.00334,0.00154,1.4094,0.18,0.06,12.62,121699
2460366.699074,0.99725,0.00160,1.4089,0.39,0.26,12.36,98242
2460366.699364,1.00112,0.00153,1.4084,0.67,-0.28,11.96,134197
2460366.699665,0.99078,0.00154,1.4080,1.15,-1.56,12.36,110115
2460366.699955,0.99683,0.00153,1.4075,0.55,-0.14,12.81,113155
2460366.700256,1.00328,0.00152,1.4070,0.73,-0.04,12.37,126061
2460366.700546,0.99864,0.00151,1.4066,0.67,-0.18,12.27,137410
2460366.700847,1.00103,0.00150,1.4062,1.05,-0.11,12.49,146744
2460366.701149,1.00151,0.00149,1.4057,0.30,-0.40,12.28,151699
2460366.701450,1.00132,0.00151,1.4053,0.94,0.11,12.20,143723
